,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Game #
4228,Shot Chart Detail,41700101,69,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,2,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,10,1,0,20180414,TOR,WAS,1.0
4229,Shot Chart Detail,41700101,154,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,0,33,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,18,1,1,20180414,TOR,WAS,1.0
4230,Shot Chart Detail,41700101,246,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,5,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-87,175,1,0,20180414,TOR,WAS,1.0
4231,Shot Chart Detail,41700101,278,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,2,55,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,41,1,0,20180414,TOR,WAS,1.0
4232,Shot Chart Detail,41700101,312,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,29,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-142,262,1,0,20180414,TOR,WAS,1.0
4233,Shot Chart Detail,41700101,326,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,25,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,36,50,1,1,20180414,TOR,WAS,1.0
4234,Shot Chart Detail,41700101,330,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,0,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-51,256,1,1,20180414,TOR,WAS,1.0
4235,Shot Chart Detail,41700101,342,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,9,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,33,83,1,1,20180414,TOR,WAS,1.0
4236,Shot Chart Detail,41700101,354,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-131,6,1,0,20180414,TOR,WAS,1.0
4237,Shot Chart Detail,41700101,361,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,29,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,4,1,0,20180414,TOR,WAS,1.0
4238,Shot Chart Detail,41700101,380,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,5,10,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-52,248,1,1,20180414,TOR,WAS,1.0
4239,Shot Chart Detail,41700101,417,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,166,239,1,0,20180414,TOR,WAS,1.0
4240,Shot Chart Detail,41700101,429,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,57,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,41,10,1,1,20180414,TOR,WAS,1.0
4241,Shot Chart Detail,41700101,436,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,5,1,0,20180414,TOR,WAS,1.0
4242,Shot Chart Detail,41700101,443,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-105,100,1,0,20180414,TOR,WAS,1.0
4243,Shot Chart Detail,41700101,565,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,2,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-113,173,1,0,20180414,TOR,WAS,1.0
4244,Shot Chart Detail,41700101,586,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,1,8,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-1,1,0,20180414,TOR,WAS,1.0
4245,Shot Chart Detail,41700102,46,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,8,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-206,-1,1,0,20180417,TOR,WAS,2.0
4246,Shot Chart Detail,41700102,74,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,29,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,0,20180417,TOR,WAS,2.0
4247,Shot Chart Detail,41700102,99,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,4,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,0,1,1,20180417,TOR,WAS,2.0
4248,Shot Chart Detail,41700102,103,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,4,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,200,69,1,1,20180417,TOR,WAS,2.0
4249,Shot Chart Detail,41700102,108,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,3,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-120,225,1,1,20180417,TOR,WAS,2.0
4250,Shot Chart Detail,41700102,143,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,2,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,95,248,1,0,20180417,TOR,WAS,2.0
4251,Shot Chart Detail,41700102,147,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,1,48,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,11,1,1,20180417,TOR,WAS,2.0
4252,Shot Chart Detail,41700102,150,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,1,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,11,1,1,20180417,TOR,WAS,2.0
4253,Shot Chart Detail,41700102,158,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,0,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-149,254,1,0,20180417,TOR,WAS,2.0
4254,Shot Chart Detail,41700102,243,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,6,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,90,254,1,1,20180417,TOR,WAS,2.0
4255,Shot Chart Detail,41700102,271,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,4,13,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-45,67,1,0,20180417,TOR,WAS,2.0
4256,Shot Chart Detail,41700102,323,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,120,112,1,1,20180417,TOR,WAS,2.0
4257,Shot Chart Detail,41700102,326,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,5,1,1,20180417,TOR,WAS,2.0
4258,Shot Chart Detail,41700102,386,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,72,166,1,0,20180417,TOR,WAS,2.0
4259,Shot Chart Detail,41700102,390,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,23,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20180417,TOR,WAS,2.0
4260,Shot Chart Detail,41700102,392,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,6,50,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,1,136,1,1,20180417,TOR,WAS,2.0
4261,Shot Chart Detail,41700102,402,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,5,56,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,40,1,1,20180417,TOR,WAS,2.0
4262,Shot Chart Detail,41700102,481,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-118,237,1,0,20180417,TOR,WAS,2.0
4263,Shot Chart Detail,41700102,558,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,7,5,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-37,73,1,1,20180417,TOR,WAS,2.0
4264,Shot Chart Detail,41700102,561,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,6,27,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,11,145,1,0,20180417,TOR,WAS,2.0
4265,Shot Chart Detail,41700102,575,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-204,9,1,1,20180417,TOR,WAS,2.0
4266,Shot Chart Detail,41700102,591,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,4,31,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-35,29,1,1,20180417,TOR,WAS,2.0
4267,Shot Chart Detail,41700102,594,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,4,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,141,132,1,0,20180417,TOR,WAS,2.0
4268,Shot Chart Detail,41700103,30,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,9,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,194,1,1,20180420,WAS,TOR,3.0
4269,Shot Chart Detail,41700103,37,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,8,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-16,268,1,0,20180420,WAS,TOR,3.0
4270,Shot Chart Detail,41700103,44,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,7,38,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,21,1,1,20180420,WAS,TOR,3.0
4271,Shot Chart Detail,41700103,48,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,57,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,6,141,1,1,20180420,WAS,TOR,3.0
4272,Shot Chart Detail,41700103,100,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,2,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,13,1,1,20180420,WAS,TOR,3.0
4273,Shot Chart Detail,41700103,116,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,2,19,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-26,40,1,0,20180420,WAS,TOR,3.0
4274,Shot Chart Detail,41700103,141,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,1,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-38,220,1,0,20180420,WAS,TOR,3.0
4275,Shot Chart Detail,41700103,151,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,0,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-198,187,1,0,20180420,WAS,TOR,3.0
4276,Shot Chart Detail,41700103,158,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,0,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,84,153,1,0,20180420,WAS,TOR,3.0
4277,Shot Chart Detail,41700103,277,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,4,6,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,111,82,1,0,20180420,WAS,TOR,3.0
4278,Shot Chart Detail,41700103,299,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,2,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20180420,WAS,TOR,3.0
4279,Shot Chart Detail,41700103,305,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,46,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-67,105,1,1,20180420,WAS,TOR,3.0
4280,Shot Chart Detail,41700103,314,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,33,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-25,53,1,0,20180420,WAS,TOR,3.0
4281,Shot Chart Detail,41700103,364,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,8,1,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-77,158,1,1,20180420,WAS,TOR,3.0
4282,Shot Chart Detail,41700103,366,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,18,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-3,1,0,20180420,WAS,TOR,3.0
4283,Shot Chart Detail,41700103,391,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,5,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,10,1,0,20180420,WAS,TOR,3.0
4284,Shot Chart Detail,41700103,412,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,4,2,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,52,75,1,1,20180420,WAS,TOR,3.0
4285,Shot Chart Detail,41700103,455,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,21,1,0,20180420,WAS,TOR,3.0
4286,Shot Chart Detail,41700103,540,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,6,31,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,136,43,1,0,20180420,WAS,TOR,3.0
4287,Shot Chart Detail,41700103,554,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,29,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,33,104,1,1,20180420,WAS,TOR,3.0
4288,Shot Chart Detail,41700103,559,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,5,53,1,0,20180420,WAS,TOR,3.0
4289,Shot Chart Detail,41700103,578,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,3,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-125,165,1,1,20180420,WAS,TOR,3.0
4290,Shot Chart Detail,41700104,21,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,10,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-52,198,1,0,20180422,WAS,TOR,4.0
4291,Shot Chart Detail,41700104,40,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,8,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,125,63,1,0,20180422,WAS,TOR,4.0
4292,Shot Chart Detail,41700104,76,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,52,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,18,225,1,0,20180422,WAS,TOR,4.0
4293,Shot Chart Detail,41700104,124,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,3,44,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,22,1,0,20180422,WAS,TOR,4.0
4294,Shot Chart Detail,41700104,146,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,1,45,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,43,1,0,20180422,WAS,TOR,4.0
4295,Shot Chart Detail,41700104,266,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,4,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,93,126,1,0,20180422,WAS,TOR,4.0
4296,Shot Chart Detail,41700104,286,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,3,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,22,1,1,20180422,WAS,TOR,4.0
4297,Shot Chart Detail,41700104,307,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,153,1,0,20180422,WAS,TOR,4.0
4298,Shot Chart Detail,41700104,311,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,52,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,43,1,0,20180422,WAS,TOR,4.0
4299,Shot Chart Detail,41700104,324,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,4,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,32,41,1,1,20180422,WAS,TOR,4.0
4300,Shot Chart Detail,41700104,348,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,1,20180422,WAS,TOR,4.0
4301,Shot Chart Detail,41700104,371,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,8,170,1,0,20180422,WAS,TOR,4.0
4302,Shot Chart Detail,41700104,375,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,10,39,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,20,1,1,20180422,WAS,TOR,4.0
4303,Shot Chart Detail,41700104,392,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,9,30,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-138,89,1,0,20180422,WAS,TOR,4.0
4304,Shot Chart Detail,41700104,426,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,6,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,33,62,1,1,20180422,WAS,TOR,4.0
4305,Shot Chart Detail,41700104,437,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,5,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-147,167,1,0,20180422,WAS,TOR,4.0
4306,Shot Chart Detail,41700104,472,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,3,32,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20180422,WAS,TOR,4.0
4307,Shot Chart Detail,41700104,495,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,1,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,26,1,0,20180422,WAS,TOR,4.0
4308,Shot Chart Detail,41700104,504,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,1,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-98,122,1,1,20180422,WAS,TOR,4.0
4309,Shot Chart Detail,41700104,510,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,216,1,1,20180422,WAS,TOR,4.0
4310,Shot Chart Detail,41700104,520,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,10,1,0,20180422,WAS,TOR,4.0
4311,Shot Chart Detail,41700104,597,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-54,209,1,1,20180422,WAS,TOR,4.0
4312,Shot Chart Detail,41700104,600,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,22,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-153,95,1,0,20180422,WAS,TOR,4.0
4313,Shot Chart Detail,41700104,604,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,1,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-65,120,1,0,20180422,WAS,TOR,4.0
4314,Shot Chart Detail,41700104,614,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,3,55,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,43,1,0,20180422,WAS,TOR,4.0
4315,Shot Chart Detail,41700104,624,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,3,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,11,1,0,20180422,WAS,TOR,4.0
4316,Shot Chart Detail,41700104,632,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,2,46,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-143,212,1,0,20180422,WAS,TOR,4.0
4317,Shot Chart Detail,41700104,634,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,2,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,29,1,1,20180422,WAS,TOR,4.0
4318,Shot Chart Detail,41700104,643,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,1,35,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,221,134,1,0,20180422,WAS,TOR,4.0
4319,Shot Chart Detail,41700105,10,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,11,38,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,12,1,0,20180425,TOR,WAS,5.0
4320,Shot Chart Detail,41700105,22,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,10,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20180425,TOR,WAS,5.0
4321,Shot Chart Detail,41700105,52,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,7,19,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-3,1,1,20180425,TOR,WAS,5.0
4322,Shot Chart Detail,41700105,55,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,7,3,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,58,247,1,1,20180425,TOR,WAS,5.0
4323,Shot Chart Detail,41700105,59,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,37,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-1,157,1,0,20180425,TOR,WAS,5.0
4324,Shot Chart Detail,41700105,100,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,3,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,11,1,1,20180425,TOR,WAS,5.0
4325,Shot Chart Detail,41700105,115,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,2,13,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,101,8,1,0,20180425,TOR,WAS,5.0
4326,Shot Chart Detail,41700105,131,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,0,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-81,223,1,0,20180425,TOR,WAS,5.0
4327,Shot Chart Detail,41700105,218,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,6,16,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,1,20180425,TOR,WAS,5.0
4328,Shot Chart Detail,41700105,257,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,4,5,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,108,190,1,0,20180425,TOR,WAS,5.0
4329,Shot Chart Detail,41700105,287,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-38,99,1,1,20180425,TOR,WAS,5.0
4330,Shot Chart Detail,41700105,296,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,32,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-70,262,1,1,20180425,TOR,WAS,5.0
4331,Shot Chart Detail,41700105,305,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,1,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-98,196,1,0,20180425,TOR,WAS,5.0
4332,Shot Chart Detail,41700105,315,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,51,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,40,168,1,1,20180425,TOR,WAS,5.0
4333,Shot Chart Detail,41700105,322,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,13,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,38,63,1,1,20180425,TOR,WAS,5.0
